,Unnamed: 0,tag_no,tag_foll_no,DateTime,tag_name,logLine_text,tag_name_foll_no,comments
27,27,22,1,2016-03-22T11:45:15-04:00,sendmail,"u2MFjFPg012791: from=<fail2ban@r001.pvt.bridges.psc.edu>, size=476, class=0, nrcpts=1, msgid=<201603221545.u2MFjEcU012727@r001.pvt.bridges.psc.edu>, proto=ESMTP, daemon=MTA-v6, relay=localhost [127.0.0.1]",12791,who sent mail to who
28,28,22,1,2016-03-22T11:45:15-04:00,sm-msp-queue,"u2MFjEcU012727: to=root@localhost, delay=00:00:01, xdelay=00:00:00, mailer=relay, pri=120223, relay=[127.0.0.1] [127.0.0.1], dsn=2.0.0, stat=Sent (u2MFjFPg012791 Message accepted for delivery)",12790,starting daemon (8.14.7): queueing@01:00:00;Mail send
29,29,18,1,2016-03-22T11:45:15-04:00,sendmail,u2MFjFPg012791: SYSERR(root): Switch map aliases: unknown member map aliases.nisplus,12801,who sent mail to who
30,30,30,1,2016-03-22T11:45:15-04:00,systemd,Stopping irqbalance daemon...,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
31,31,30,1,2016-03-22T11:45:15-04:00,systemd,Started irqbalance daemon.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
32,32,30,1,2016-03-22T11:45:15-04:00,systemd,Starting irqbalance daemon...,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
33,33,29,1,2016-03-22T11:45:15-04:00,puppet-agent,(/Stage[main]/Bridges::Omnipath/Service[irqbalance]) Triggered 'refresh' from 1 events,11764,enable changed 'false' to 'true'; Applied catalog;mode changed '0755' to '1777'; Triggered 'refresh'; defined content
34,34,22,1,2016-03-22T11:45:16-04:00,sendmail,"u2MFjFPg012791: to=<root@r001.pvt.bridges.psc.edu>, delay=00:00:01, xdelay=00:00:01, mailer=local, pri=30694, dsn=2.0.0, stat=Sent",12801,who sent mail to who
35,35,14,1,2016-03-22T11:45:17-04:00,yum,Updated: infiniband-diags-1.6.5-3.el7.x86_64,12814,Updated and Installed
36,36,30,1,2016-03-22T11:45:17-04:00,systemd,Reloading.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
37,37,28,1,2016-03-22T11:45:17-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
38,38,28,1,2016-03-22T11:45:17-04:00,systemd,Configuration file /usr/lib/systemd/system/auditd.service is marked world-inaccessible. This has no effect as configuration data is accessible via APIs without restrictions. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
39,39,28,1,2016-03-22T11:45:17-04:00,systemd,Configuration file /usr/lib/systemd/system/ebtables.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
40,40,28,1,2016-03-22T11:45:17-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
41,41,28,1,2016-03-22T11:45:17-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
42,42,28,1,2016-03-22T11:45:17-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
43,43,14,1,2016-03-22T11:45:17-04:00,yum,Installed: rdma-ndd-1.6.5-3.el7.x86_64,12814,Updated and Installed
44,44,29,1,2016-03-22T11:45:18-04:00,puppet-agent,(/Stage[main]/Bridges::Omnipath/Package[rdma-ndd]/ensure) created,11764,enable changed 'false' to 'true'; Applied catalog;mode changed '0755' to '1777'; Triggered 'refresh'; defined content
45,45,30,1,2016-03-22T11:45:18-04:00,systemd,Reloading.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
46,46,28,1,2016-03-22T11:45:18-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
47,47,28,1,2016-03-22T11:45:18-04:00,systemd,Configuration file /usr/lib/systemd/system/auditd.service is marked world-inaccessible. This has no effect as configuration data is accessible via APIs without restrictions. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
48,48,28,1,2016-03-22T11:45:18-04:00,systemd,Configuration file /usr/lib/systemd/system/ebtables.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
49,49,28,1,2016-03-22T11:45:18-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
50,50,28,1,2016-03-22T11:45:18-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
51,51,28,1,2016-03-22T11:45:18-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
52,52,30,1,2016-03-22T11:45:18-04:00,systemd,Started Manage RDMA Node Description Daemon.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
53,53,30,1,2016-03-22T11:45:18-04:00,systemd,Starting Manage RDMA Node Description Daemon...,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
54,54,30,1,2016-03-22T11:45:18-04:00,rdma-ndd,Node Descriptor format (%h %d),12863,Node Descriptor format (%h %d);hfi1_0: change
55,55,30,1,2016-03-22T11:45:18-04:00,rdma-ndd,hfi1_0: change (localhost.localdomain) -> (r001 hfi1_0),12863,Node Descriptor format (%h %d);hfi1_0: change
56,56,30,1,2016-03-22T11:45:18-04:00,systemd,Reloading.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
57,57,28,1,2016-03-22T11:45:18-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
58,58,28,1,2016-03-22T11:45:18-04:00,systemd,Configuration file /usr/lib/systemd/system/auditd.service is marked world-inaccessible. This has no effect as configuration data is accessible via APIs without restrictions. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
59,59,28,1,2016-03-22T11:45:18-04:00,systemd,Configuration file /usr/lib/systemd/system/ebtables.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
60,60,28,1,2016-03-22T11:45:18-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
61,61,28,1,2016-03-22T11:45:18-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
62,62,28,1,2016-03-22T11:45:18-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
63,63,30,1,2016-03-22T11:45:18-04:00,systemd,Reloading.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
64,64,28,1,2016-03-22T11:45:18-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
65,65,28,1,2016-03-22T11:45:18-04:00,systemd,Configuration file /usr/lib/systemd/system/auditd.service is marked world-inaccessible. This has no effect as configuration data is accessible via APIs without restrictions. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
66,66,28,1,2016-03-22T11:45:18-04:00,systemd,Configuration file /usr/lib/systemd/system/ebtables.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
67,67,28,1,2016-03-22T11:45:18-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
68,68,28,1,2016-03-22T11:45:18-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
69,69,28,1,2016-03-22T11:45:18-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
70,70,29,1,2016-03-22T11:45:18-04:00,puppet-agent,(/Stage[main]/Bridges::Omnipath/Service[rdma-ndd]/ensure) ensure changed 'stopped' to 'running',11764,enable changed 'false' to 'true'; Applied catalog;mode changed '0755' to '1777'; Triggered 'refresh'; defined content
71,71,29,1,2016-03-22T11:45:24-04:00,puppet-agent,(/Stage[main]/Bridges::Slurm/File[munge.key]/ensure) defined content as '{md5}1d80d5b62bee55e8a69fc91e8432e011',11764,enable changed 'false' to 'true'; Applied catalog;mode changed '0755' to '1777'; Triggered 'refresh'; defined content
72,72,30,1,2016-03-22T11:45:24-04:00,systemd,Reloading.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
73,73,28,1,2016-03-22T11:45:24-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
74,74,28,1,2016-03-22T11:45:24-04:00,systemd,Configuration file /usr/lib/systemd/system/auditd.service is marked world-inaccessible. This has no effect as configuration data is accessible via APIs without restrictions. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
75,75,28,1,2016-03-22T11:45:24-04:00,systemd,Configuration file /usr/lib/systemd/system/ebtables.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
76,76,28,1,2016-03-22T11:45:24-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
77,77,28,1,2016-03-22T11:45:24-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
78,78,28,1,2016-03-22T11:45:24-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
79,79,30,1,2016-03-22T11:45:24-04:00,systemd,Starting MUNGE authentication service...,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
80,80,30,1,2016-03-22T11:45:24-04:00,systemd,Started MUNGE authentication service.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
81,81,30,1,2016-03-22T11:45:24-04:00,systemd,Reloading.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
82,82,28,1,2016-03-22T11:45:24-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
83,83,28,1,2016-03-22T11:45:24-04:00,systemd,Configuration file /usr/lib/systemd/system/auditd.service is marked world-inaccessible. This has no effect as configuration data is accessible via APIs without restrictions. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
84,84,28,1,2016-03-22T11:45:24-04:00,systemd,Configuration file /usr/lib/systemd/system/ebtables.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
85,85,28,1,2016-03-22T11:45:24-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
86,86,28,1,2016-03-22T11:45:24-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
87,87,28,1,2016-03-22T11:45:24-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
88,88,30,1,2016-03-22T11:45:24-04:00,systemd,Reloading.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
89,89,28,1,2016-03-22T11:45:24-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
90,90,28,1,2016-03-22T11:45:24-04:00,systemd,Configuration file /usr/lib/systemd/system/auditd.service is marked world-inaccessible. This has no effect as configuration data is accessible via APIs without restrictions. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
91,91,28,1,2016-03-22T11:45:24-04:00,systemd,Configuration file /usr/lib/systemd/system/ebtables.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
92,92,28,1,2016-03-22T11:45:24-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
93,93,28,1,2016-03-22T11:45:24-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
94,94,28,1,2016-03-22T11:45:24-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
95,95,29,1,2016-03-22T11:45:24-04:00,puppet-agent,(/Stage[main]/Bridges::Slurm/Service[munge.service]/ensure) ensure changed 'stopped' to 'running',11764,enable changed 'false' to 'true'; Applied catalog;mode changed '0755' to '1777'; Triggered 'refresh'; defined content
96,96,86,1,2016-03-22T11:45:24-04:00,usermod,change user 'slurm' shell from '/bin/nologin' to '/sbin/nologin',12972,who sent mail to who
97,97,29,1,2016-03-22T11:45:24-04:00,nscd,12600 monitored file `/etc/passwd` was written to,0,`/etc/netgroup': No such file or directory;Monitoring File; Monitored File; stat failed for file `/etc/netgroup'; will try again later: No such file or directory
98,98,29,1,2016-03-22T11:45:24-04:00,nscd,"12600 monitored file `/etc/passwd` was moved into place, adding watch",0,`/etc/netgroup': No such file or directory;Monitoring File; Monitored File; stat failed for file `/etc/netgroup'; will try again later: No such file or directory
99,99,29,1,2016-03-22T11:45:24-04:00,nscd,12600 monitoring file `/etc/passwd` (7),0,`/etc/netgroup': No such file or directory;Monitoring File; Monitored File; stat failed for file `/etc/netgroup'; will try again later: No such file or directory
100,100,29,1,2016-03-22T11:45:24-04:00,nscd,12600 monitoring directory `/etc` (2),0,`/etc/netgroup': No such file or directory;Monitoring File; Monitored File; stat failed for file `/etc/netgroup'; will try again later: No such file or directory
101,101,29,1,2016-03-22T11:45:24-04:00,nscd,12600 monitoring file `/etc/group` (3),0,`/etc/netgroup': No such file or directory;Monitoring File; Monitored File; stat failed for file `/etc/netgroup'; will try again later: No such file or directory
102,102,29,1,2016-03-22T11:45:24-04:00,nscd,12600 monitoring directory `/etc` (2),0,`/etc/netgroup': No such file or directory;Monitoring File; Monitored File; stat failed for file `/etc/netgroup'; will try again later: No such file or directory
103,103,29,1,2016-03-22T11:45:24-04:00,nscd,12600 monitoring file `/etc/passwd` (7),0,`/etc/netgroup': No such file or directory;Monitoring File; Monitored File; stat failed for file `/etc/netgroup'; will try again later: No such file or directory
104,104,29,1,2016-03-22T11:45:24-04:00,nscd,12600 monitoring directory `/etc` (2),0,`/etc/netgroup': No such file or directory;Monitoring File; Monitored File; stat failed for file `/etc/netgroup'; will try again later: No such file or directory
105,105,29,1,2016-03-22T11:45:24-04:00,nscd,12600 monitoring file `/etc/group` (3),0,`/etc/netgroup': No such file or directory;Monitoring File; Monitored File; stat failed for file `/etc/netgroup'; will try again later: No such file or directory
106,106,29,1,2016-03-22T11:45:24-04:00,nscd,12600 monitoring directory `/etc` (2),0,`/etc/netgroup': No such file or directory;Monitoring File; Monitored File; stat failed for file `/etc/netgroup'; will try again later: No such file or directory
107,107,29,1,2016-03-22T11:45:24-04:00,puppet-agent,(/Stage[main]/Bridges::Slurm/User[slurm]/shell) shell changed '/bin/nologin' to '/sbin/nologin',11764,enable changed 'false' to 'true'; Applied catalog;mode changed '0755' to '1777'; Triggered 'refresh'; defined content
108,108,29,1,2016-03-22T11:45:24-04:00,puppet-agent,(/Stage[main]/Bridges::Slurm/File[slurmd.service]/ensure) defined content as '{md5}f5fe10678a15942755fbb5be6eb42614',11764,enable changed 'false' to 'true'; Applied catalog;mode changed '0755' to '1777'; Triggered 'refresh'; defined content
109,109,30,1,2016-03-22T11:45:24-04:00,systemd,Reloading.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
110,110,28,1,2016-03-22T11:45:24-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
111,111,28,1,2016-03-22T11:45:24-04:00,systemd,Configuration file /usr/lib/systemd/system/auditd.service is marked world-inaccessible. This has no effect as configuration data is accessible via APIs without restrictions. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
112,112,28,1,2016-03-22T11:45:24-04:00,systemd,Configuration file /usr/lib/systemd/system/ebtables.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
113,113,28,1,2016-03-22T11:45:24-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
114,114,28,1,2016-03-22T11:45:24-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
115,115,28,1,2016-03-22T11:45:24-04:00,systemd,Configuration file /usr/lib/systemd/system/dhcp-interface@.service is marked executable. Please remove executable permission bits. Proceeding anyway.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
116,116,30,1,2016-03-22T11:45:24-04:00,systemd,Starting Slurm node daemon...,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
117,117,30,1,2016-03-22T11:45:42-04:00,systemd,PID file /var/run/slurmd.pid not readable (yet?) after start.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
118,118,30,1,2016-03-22T11:45:42-04:00,systemd,Started Slurm node daemon.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
119,119,30,1,2016-03-22T11:45:42-04:00,systemd,Reloading.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
